1,2,3,4,5,6
26,52,58,85,54,94
2,77,29,93,14,98
33,27,7,58,91,5
11,59,1,40,19,70
65,18,55,71,78,100
5,51,85,34,52,94
39,40,70,57,97,97
24,57,71,25,48,42
21,54,21,30,73,53
39,61,40,86,8,95
52,93,38,80,47,98
6,70,26,42,89,87
9,20,69,22,97,23
33,5,64,90,7,11
85,66,7,45,86,17
34,78,42,71,29,22
13,85,68,56,80,43
45,26,1,6,41,91
100,39,92,7,20,82
13,48,76,32,30,60
57,100,50,6,91,14
96,92,15,63,60,27
91,25,41,54,31,15
39,8,35,30,88,41
29,84,97,32,9,100
98,24,2,31,51,5
42,3,59,66,10,4
24,52,87,33,41,14
32,61,58,57,85,12
65,8,29,88,14,42
17,52,38,5,46,47
54,18,47,59,17,32
74,80,52,61,64,89
58,12,48,44,31,89
87,92,40,96,95,89
75,70,99,95,79,27
14,65,63,38,4,25
1,68,33,90,46,14
47,71,15,97,57,1
76,22,63,95,61,12
79,82,7,32,72,84
97,3,12,29,70,34
50,22,17,92,21,33
33,11,27,100,14,14
41,24,98,42,29,64
80,10,41,29,88,12
96,46,91,2,95,10
74,44,51,68,35,26
13,81,98,20,83,93
58,72,38,71,58,34
6,85,8,47,80,60
80,79,43,13,95,82
98,67,78,2,16,84
36,90,100,92,50,62
100,14,2,21,25,70
100,76,29,98,59,100
100,61,34,15,99,60
72,34,36,26,30,53
60,84,73,81,89,1
98,10,43,73,72,51
57,95,24,31,60,89
90,81,13,78,76,32
11,86,6,3,33,59
44,83,63,35,10,67
10,94,24,22,2,68
28,60,95,5,42,40
40,33,56,2,28,96
77,96,49,9,33,9
84,94,88,14,91,81
32,61,86,43,73,2
20,72,2,58,60,53
23,72,84,23,62,85
38,13,7,92,81,1
2,95,86,70,24,100
11,6,87,75,70,78
26,48,97,51,10,63
7,80,46,50,5,10
87,32,86,6,18,90
65,2,3,38,5,79
49,18,70,1,46,7
75,76,25,26,3,29
37,93,4,95,81,62
55,13,61,23,34,9
99,59,12,58,21,51
23,18,86,47,1,10
22,40,48,95,6,84
85,33,50,18,73,96
61,15,78,28,98,17
82,33,19,90,71,25
85,59,91,54,77,70
75,78,19,4,57,39
63,8,58,52,34,61
93,97,8,2,62,75
67,44,90,20,45,13
85,5,48,32,25,52
44,45,82,70,78,20
40,16,17,90,29,29
48,81,89,6,34,95
55,33,44,24,81,45
7,100,9,51,38,36
